"MEMBERS’ ROLES AND COMMITTEE MEMBERSHIPS AS OF 2019.09.05",

SPEAKER AND OTHER PRESIDING OFFICERS
"Name","Title",
"Regan, Geoff (Hon.)","Speaker of the House",
"Stanton, Bruce","Deputy Speaker and Chair of the Committees of the Whole",
"Hughes, Carol","Deputy Chair Of Committees of the Whole",
"Rota, Anthony","Assistant Deputy Chair Of Committees of the Whole",


BOARD OF INTERNAL ECONOMY
"Name","Title",
"Regan, Geoff (Hon.)","Board of Internal Economy Chair",
"Bergen, Candice (Hon.)","Board of Internal Economy Member",
"Chagger, Bardish (Hon.)","Board of Internal Economy Member",
"Holland, Mark (Hon.)","Board of Internal Economy Member",
"Julian, Peter","Board of Internal Economy Member",
"Rodriguez, Pablo (Hon.)","Board of Internal Economy Member",
"Strahl, Mark","Board of Internal Economy Member",


HOUSE OFFICERS
"Name","Title","Political Affiliation",
"Regan, Geoff (Hon.)","Speaker","Liberal",
"Stanton, Bruce","Deputy Speaker and Chair of Committees of the Whole","Conservative",
"Hughes, Carol","Assistant Deputy Speaker and Deputy Chair of Committees of the Whole","NDP",
"Rota, Anthony","Assistant Deputy Speaker and Assistant Deputy Chair of Committees of the Whole","Liberal",
"Scheer, Andrew (Hon.)","Leader of the Conservative Party of Canada","Conservative",
"Singh, Jagmeet","Leader of the New Democratic Party","NDP",
"Trudeau, Justin (Right Hon.)","Leader of the Liberal Party","Liberal",
"Bergen, Candice (Hon.)","House Leader of the Official Opposition","Conservative",
"Julian, Peter","House Leader of the New Democratic Party","NDP",
"Brosseau, Ruth Ellen","Whip of the New Democratic Party","NDP",
"Holland, Mark (Hon.)","Chief Government Whip","Liberal",
"Strahl, Mark","Chief Opposition Whip","Conservative",
"Dubé, Matthew","Caucus Chair","NDP",
"Scarpaleggia, Francis","Caucus Chair","Liberal",
"Sweet, David","Caucus Chair","Conservative",


MEMBERS OF THE HOUSE OF COMMONS
"Name","Constituency","Province","Political Affiliation",
"Sahota, Ruby","Associate Member",
"Sangha, Ramesh","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sidhu, Sonia","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Spengemann, Sven","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tassi, Filomena (Hon.)","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vandenbeld, Anita","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Virani, Arif","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SJUS)
"Name","Title",
"Housefather, Anthony","Chair",
"Fraser, Colin","Member",
"Khalid, Iqra","Member",
"Raitt, Lisa (Hon.)","Member",
"Ramsey, Tracey","Member",


Liaison (LIAI)
"Name","Title",
"Sgro, Judy A. (Hon.)","Chair",
"Lukiwski, Tom","Vice-Chair",
"Albrecht, Harold","Member",
"Aldag, John","Member",
"Bagnell, Larry (Hon.)","Member",
"Casey, Bill","Member",
"Dabrusin, Julie","Member",
"Easter, Wayne (Hon.)","Member",
"Ellis, Neil","Member",
"Eyking, Mark (Hon.)","Member",
"Finnigan, Pat","Member",
"Fuhr, Stephen","Member",
"Housefather, Anthony","Member",
"Levitt, Michael","Member",
"Maloney, James","Member",
"May, Bryan","Member",
"McDonald, Ken","Member",
"McKay, John (Hon.)","Member",
"Mihychuk, MaryAnn (Hon.)","Member",
"Paradis, Denis (Hon.)","Member",
"Ruimy, Dan","Member",
"Sikand, Gagan","Member",
"Sorenson, Kevin (Hon.)","Member",
"Vecchio, Karen","Member",
"Whalen, Nick","Member",
"Zimmer, Bob","Member",
"Allison, Dean","Associate Member",
"Angus, Charlie","Associate Member",
"Ashton, Niki","Associate Member",
"Badawey, Vance","Associate Member",
"Bernier, Maxime (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaikie, Daniel","Associate Member",
"Block, Kelly","Associate Member",
"Cannings, Richard","Associate Member",
"Caron, Guy","Associate Member",
"Choquette, François","Associate Member",
"Christopherson, David","Associate Member",
"Clarke, Alupa","Associate Member",
"Damoff, Pam","Associate Member",
"Donnelly, Fin","Associate Member",
"Dubé, Matthew","Associate Member",
"Duncan, Linda","Associate Member",
"Erskine-Smith, Nathaniel","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Garrison, Randall","Associate Member",
"Johns, Gord","Associate Member",
"Kwan, Jenny","Associate Member",
"Laverdière, Hélène","Associate Member",
"Malcolmson, Sheila","Associate Member",
"Masse, Brian","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Mendès, Alexandra","Associate Member",
"Nantel, Pierre","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Ramsey, Tracey","Associate Member",
"Rankin, Murray","Associate Member",
"Ratansi, Yasmin","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Stubbs, Shannon","Associate Member",
"Van Loan, Peter (Hon.)","Associate Member",
"Weir, Erin","Associate Member",


Subcommittee on Committee Budgets (SBLI)
"Name","Title",
"Sgro, Judy A. (Hon.)","Chair",
"Easter, Wayne (Hon.)","Member",
"Fuhr, Stephen","Member",
"Lukiwski, Tom","Member",
"Ruimy, Dan","Member",
"Sorenson, Kevin (Hon.)","Member",


Subcommittee on Communications Activities in Relation to Committees (SLCO)
"Name","Title",
"Sgro, Judy A. (Hon.)","Chair",
"May, Bryan","Member",
"Ruimy, Dan","Member",
"Vecchio, Karen","Member",
"Zimmer, Bob","Member",


National Defence (NDDN)
"Name","Title",
"Fuhr, Stephen","Chair",
"Bezan, James","Vice-Chair",
"Garrison, Randall","Vice-Chair",
"Dzerowicz, Julie","Member",
"Fisher, Darren","Member",
"Gallant, Cheryl","Member",
"Gerretsen, Mark","Member",
"Martel, Richard","Member",
"Robillard, Yves","Member",
"Spengemann, Sven","Member",
"Cormier, Serge","Parliamentary Secretary — Non-Voting Member",
"Lauzon, Stéphane","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Arseneault, René","Associate Member",
"Bagnell, Larry (Hon.)","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bittle, Chris","Associate Member",
"Blaikie, Daniel","Associate Member",
"Blaney, Rachel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boutin-Sweet, Marjolaine","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Christopherson, David","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Dhillon, Anju","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Duncan, Linda","Associate Member",
"Eglinski, Jim","Associate Member",
"Ellis, Neil","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Jones, Yvonne","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Lemieux, Denis","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Mathyssen, Irene","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McCrimmon, Karen","Associate Member",
"McKay, John (Hon.)","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Miller, Marc","Associate Member",
"Motz, Glen","Associate Member",
"Nassif, Eva","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Picard, Michel","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rota, Anthony","Associate Member",
"Rusnak, Don","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Simms, Scott","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Wrzesnewskyj, Borys","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SNDD)
"Name","Title",
"Fuhr, Stephen","Chair",
"Bezan, James","Member",
"Fisher, Darren","Member",
"Garrison, Randall","Member",
"Gerretsen, Mark","Member",
"Cormier, Serge","Parliamentary Secretary — Non-Voting Member",
"Lauzon, Stéphane","Parliamentary Secretary — Non-Voting Member",


Natural Resources (RNNR)
"Name","Title",
"Maloney, James","Chair",
"Cannings, Richard","Vice-Chair",
"Stubbs, Shannon","Vice-Chair",
"Falk, Ted","Member",
"Graham, David de Burgh","Member",
"Harvey, T.J.","Member",
"Hehr, Kent (Hon.)","Member",
"Schmale, Jamie","Member",
"Tan, Geng","Member",
"Whalen, Nick","Member",
"Lefebvre, Paul","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alghabra, Omar","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Amos, William","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Bagnell, Larry (Hon.)","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boissonnault, Randy","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Champagne, François-Philippe (Hon.)","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Duncan, Linda","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Hughes, Carol","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Jolibois, Georgina","Associate Member",
"Jones, Yvonne","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Lefebvre, Paul","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McDonald, Ken","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Moore, Christine","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rudd, Kim","Associate Member",
"Saroya, Bob","Associate Member",
"Schiefke, Peter","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sikand, Gagan","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Stetski, Wayne","Associate Member",
"Strahl, Mark","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SRNN)
"Name","Title",
"Maloney, James","Chair",
"Cannings, Richard","Member",
"Harvey, T.J.","Member",
"Serré, Marc","Member",
"Stubbs, Shannon","Member",


Official Languages (LANG)
"Name","Title",
"Paradis, Denis (Hon.)","Chair",
"Choquette, François","Vice-Chair",
"Clarke, Alupa","Vice-Chair",
"Arseneault, René","Member",
"Boucher, Sylvie","Member",
"Fortier, Mona","Member",
"Généreux, Bernard","Member",
"Lambropoulos, Emmanuella","Member",
"Rioux, Jean","Member",
"Samson, Darrell","Member",
"Lockhart, Alaina","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Aubin, Robert","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boissonnault, Randy","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Drouin, Francis","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Procedure and House Affairs (PROC)
"Name","Title",
"Bagnell, Larry (Hon.)","Chair",
"Christopherson, David","Vice-Chair",
"Kusie, Stephanie","Vice-Chair",
"Bittle, Chris","Member",
"Graham, David de Burgh","Member",
"Lapointe, Linda","Member",
"Nater, John","Member",
"Reid, Scott","Member",
"Sahota, Ruby","Member",
"Simms, Scott","Member",
"Lamoureux, Kevin","Parliamentary Secretary — Non-Voting Member",
"Virani, Arif","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Arseneault, René","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Rachel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boutin-Sweet, Marjolaine","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cullen, Nathan","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dubé, Matthew","Associate Member",
"Dusseault, Pierre-Luc","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Fergus, Greg","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lamoureux, Kevin","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lightbound, Joël","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Maloney, James","Associate Member",
"Martel, Richard","Associate Member",
"Mathyssen, Irene","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Mendès, Alexandra","Associate Member",
"Miller, Larry","Associate Member",
"Moore, Christine","Associate Member",
"Motz, Glen","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Connell, Jennifer","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Sangha, Ramesh","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Wrzesnewskyj, Borys","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SPRO)
"Name","Title",
"Bagnell, Larry (Hon.)","Chair",
"Bittle, Chris","Member",
"Christopherson, David","Member",
"Kusie, Stephanie","Member",
"Sahota, Ruby","Member",


Subcommittee on Private Members' Business (SMEM)
"Name","Title",
"Lapointe, Linda","Chair",
"Graham, David de Burgh","Member",
"Kusie, Stephanie","Member",
"Kwan, Jenny","Member",


Public Accounts (PACP)
"Name","Title",
"Sorenson, Kevin (Hon.)","Chair",
"Christopherson, David","Vice-Chair",
"Mendès, Alexandra","Vice-Chair",
"Arseneault, René","Member",
"Arya, Chandra","Member",
"Chen, Shaun","Member",
"Davidson, Scot","Member",
"Kelly, Pat","Member",
"Sarai, Randeep","Member",
"Yip, Jean","Member",
"Fergus, Greg","Parliamentary Secretary — Non-Voting Member",
"MacKinnon, Steven","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Angus, Charlie","Associate Member",
"Arnold, Mel","Associate Member",
"Ashton, Niki","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaikie, Daniel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dusseault, Pierre-Luc","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
